FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
131018;0100;3;;;
131018;0200;3;;;
131018;0300;18;;;
131018;0400;24;;;
131018;0500;15;;;
131018;0600;11;;;
131018;0700;27;;;
131018;0800;49;;;
131018;0900;35;;;
131018;1000;28;;;
131018;1100;21;;;
131018;1200;14;;;
131018;1300;17;;;
131018;1400;13;;;
131018;1500;11;;;
131018;1600;9;;;
131018;1700;21;;;
131018;1800;15;;;
131018;1900;18;;;
131018;2000;17;;;
131018;2100;19;;;
131018;2200;16;;;
131018;2300;16;;;
131019;0000;8;;;
131019;0100;7;;;
131019;0200;14;;;
131019;0300;12;;;
131019;0400;15;;;
131019;0500;16;;;
131019;0600;21;;;
131019;0700;24;;;
131019;0800;28;;;
131019;0900;31;;;
131019;1000;21;;;
131019;1100;6;;;
131019;1200;8;;;
131019;1300;5;;;
131019;1400;16;;;
131019;1500;1;;;
131019;1600;3;;;
131019;1700;2;;;
131019;1800;4;;;
131019;1900;5;;;
131019;2000;8;;;
131019;2100;5;;;
131019;2200;7;;;
131019;2300;4;;;
131020;0000;8;;;
131020;0100;6;;;
131020;0200;6;;;
131020;0300;4;;;
131020;0400;4;;;
131020;0500;11;;;
131020;0600;11;;;
131020;0700;5;;;
131020;0800;1;;;
131020;0900;1;;;
131020;1000;4;;;
131020;1100;7;;;
131020;1200;4;;;
131020;1300;3;;;
131020;1400;2;;;
131020;1500;1;;;
131020;1600;1;;;
131020;1700;1;;;
131020;1800;1;;;
131020;1900;2;;;
131020;2000;5;;;
131020;2100;5;;;
131020;2200;3;;;
131020;2300;2;;;
131021;0000;3;;;
131021;0100;1;;;
131021;0200;2;;;
131021;0300;4;;;
131021;0400;5;;;
131021;0500;13;;;
131021;0600;19;;;
131021;0700;16;;;
131021;0800;31;;;
131021;0900;32;;;
131021;1000;20;;;
131021;1100;11;;;
131021;1200;10;;;
131021;1300;13;;;
131021;1400;8;;;
131021;1500;8;;;
131021;1600;14;;;
131021;1700;13;;;
131021;1800;9;;;
131021;1900;12;;;
131021;2000;6;;;
131021;2100;3;;;
131021;2200;8;;;
131021;2300;6;;;
131022;0000;2;;;
131022;0100;1;;;
131022;0200;2;;;
131022;0300;5;;;
131022;0400;7;;;
131022;0500;6;;;
131022;0600;6;;;
131022;0700;8;;;
131022;0800;4;;;
131022;0900;11;;;
131022;1000;9;;;
131022;1100;8;;;
131022;1200;3;;;
131022;1300;1;;;
131022;1400;1;;;
131022;1500;2;;;
131022;1600;3;;;
131022;1700;3;;;
131022;1800;3;;;
131022;1900;4;;;
131022;2000;3;;;
131022;2100;3;;;
131022;2200;8;;;
131022;2300;6;;;
131023;0000;1;;;
131023;0100;4;;;
131023;0200;2;;;
131023;0300;1;;;
131023;0400;2;;;
131023;0500;4;;;
131023;0600;6;;;
131023;0700;8;;;
131023;0800;16;;;
131023;0900;14;;;
131023;1000;8;;;
131023;1100;5;;;
131023;1200;3;;;
131023;1300;1;;;
131023;1400;4;;;
131023;1500;7;;;
131023;1600;4;;;
131023;1700;7;;;
131023;1800;7;;;
131023;1900;16;;;
131023;2000;9;;;
131023;2100;13;;;
131023;2200;10;;;
131023;2300;10;;;
131024;0000;7;;;
131024;0100;5;;;
131024;0200;8;;;
131024;0300;10;;;
131024;0400;11;;;
131024;0500;10;;;
131024;0600;9;;;
131024;0700;11;;;
131024;0800;9;;;
131024;0900;10;;;
131024;1000;18;;;
131024;1100;11;;;
131024;1200;11;;;
131024;1300;6;;;
131024;1400;9;;;
131024;1500;10;;;
131024;1600;7;;;
131024;1700;9;;;
131024;1800;6;;;
131024;1900;7;;;
131024;2000;8;;;
131024;2100;8;;;
131024;2200;7;;;
131024;2300;5;;;
131025;0000;3;;;
131025;0100;11;;;
131025;0200;8;;;
131025;0300;8;;;
131025;0400;7;;;
131025;0500;10;;;
131025;0600;17;;;
131025;0700;16;;;
131025;0800;25;;;
131025;0900;50;;;
131025;1000;36;;;
131025;1100;15;;;
131025;1200;11;;;
131025;1300;10;;;
131025;1400;6;;;
131025;1500;7;;;
131025;1600;8;;;
131025;1700;6;;;
131025;1800;3;;;
131025;1900;3;;;
131025;2000;7;;;
131025;2100;10;;;
131025;2200;9;;;
131025;2300;6;;;
131026;0000;11;;;
131026;0100;18;;;
131026;0200;9;;;
131026;0300;6;;;
131026;0400;16;;;
131026;0500;21;;;
131026;0600;18;;;
131026;0700;22;;;
131026;0800;26;;;
131026;0900;21;;;
131026;1000;19;;;
131026;1100;11;;;
131026;1200;14;;;
131026;1300;10;;;
131026;1400;7;;;
131026;1500;6;;;
131026;1600;7;;;
131026;1700;10;;;
131026;1800;8;;;
131026;1900;12;;;
131026;2000;10;;;
131026;2100;11;;;
131026;2200;25;;;
131026;2300;24;;;
131027;0000;7;;;
131027;0100;9;;;
131027;0200;9;;;
131027;0300;10;;;
131027;0400;17;;;
131027;0500;17;;;
131027;0600;16;;;
131027;0700;21;;;
131027;0800;15;;;
131027;0900;16;;;
131027;1000;12;;;
131027;1100;8;;;
131027;1200;9;;;
131027;1300;8;;;
131027;1400;12;;;
131027;1500;7;;;
131027;1600;7;;;
131027;1700;9;;;
131027;1800;6;;;
131027;1900;8;;;
131027;2000;5;;;
131027;2100;5;;;
131027;2200;8;;;
131027;2300;6;;;
131028;0000;3;;;
131028;0100;3;;;
131028;0200;11;;;
131028;0300;10;;;
131028;0400;12;;;
131028;0500;11;;;
131028;0600;11;;;
131028;0700;15;;;
131028;0800;15;;;
131028;0900;14;;;
131028;1000;7;;;
131028;1100;4;;;
131028;1200;4;;;
131028;1300;10;;;
131028;1400;14;;;
131028;1500;7;;;
131028;1600;1;;;
131028;1700;1;;;
131028;1800;8;;;
131028;1900;8;;;
131028;2000;6;;;
131028;2100;8;;;
131028;2200;6;;;
131028;2300;6;;;
131029;0000;6;;;
131029;0100;8;;;
131029;0200;7;;;
131029;0300;3;;;
131029;0400;18;;;
131029;0500;7;;;
131029;0600;17;;;
131029;0700;12;;;
131029;0800;15;;;
131029;0900;14;;;
131029;1000;7;;;
131029;1100;9;;;
131029;1200;8;;;
131029;1300;8;;;
131029;1400;5;;;
131029;1500;5;;;
131029;1600;11;;;
131029;1700;6;;;
131029;1800;10;;;
131029;1900;9;;;
131029;2000;12;;;
131029;2100;8;;;
131029;2200;4;;;
131029;2300;4;;;
131030;0000;5;;;
131030;0100;5;;;
131030;0200;4;;;
131030;0300;4;;;
131030;0400;4;;;
131030;0500;12;;;
131030;0600;18;;;
131030;0700;12;;;
131030;0800;17;;;
131030;0900;12;;;
131030;1000;12;;;
131030;1100;11;;;
131030;1200;7;;;
131030;1300;6;;;
131030;1400;6;;;
131030;1500;3;;;
131030;1600;3;;;
131030;1700;4;;;
131030;1800;5;;;
131030;1900;2;;;
131030;2000;4;;;
131030;2100;2;;;
131030;2200;1;;;
131030;2300;1;;;
131031;0000;1;;;
131031;0100;3;;;
131031;0200;1;;;
131031;0300;1;;;
131031;0400;2;;;
131031;0500;1;;;
131031;0600;1;;;
131031;0700;1;;;
131031;0800;1;;;
131031;0900;4;;;
131031;1000;4;;;
131031;1100;7;;;
131031;1200;2;;;
131031;1300;1;;;
131031;1400;1;;;
131031;1500;1;;;
131031;1600;1;;;
131031;1700;1;;;
131031;1800;1;;;
131031;1900;1;;;
131031;2000;1;;;
131031;2100;2;;;
131031;2200;1;;;
131031;2300;1;;;
131101;0000;1;;;
131101;0100;1;;;
131101;0200;1;;;
131101;0300;5;;;
131101;0400;3;;;
131101;0500;1;;;
131101;0600;1;;;
131101;0700;4;;;
131101;0800;3;;;
131101;0900;1;;;
131101;1000;2;;;
131101;1100;1;;;
131101;1200;1;;;
131101;1300;1;;;
131101;1400;3;;;
131101;1500;2;;;
131101;1600;4;;;
131101;1700;3;;;
131101;1800;4;;;
131101;1900;5;;;
131101;2000;3;;;
131101;2100;5;;;
131101;2200;4;;;
131101;2300;10;;;
131102;0000;5;;;
131102;0100;5;;;
131102;0200;7;;;
131102;0300;10;;;
131102;0400;11;;;
131102;0500;12;;;
131102;0600;23;;;
131102;0700;29;;;
131102;0800;29;;;
131102;0900;11;;;
131102;1000;11;;;
131102;1100;9;;;
131102;1200;5;;;
131102;1300;7;;;
131102;1400;8;;;
131102;1500;6;;;
131102;1600;6;;;
131102;1700;4;;;
131102;1800;8;;;
131102;1900;14;;;
131102;2000;10;;;
131102;2100;8;;;
131102;2200;7;;;
131102;2300;5;;;
131103;0000;9;;;
131103;0100;12;;;
131103;0200;12;;;
